family,term,label,n_models,n_negative_sig_05,n_positive_sig_05,median_coef,all_market_fe_coef,all_market_fe_p,all_unit_fe_coef,all_unit_fe_p
city_context_boundary,price_per_minute_z:platform_any:share_15to29y_z,Price/min:Any platform:share_15to29y_z,4,0,0,0.005459332868130324,-0.04417431844779714,0.23745429247243488,0.030278822797547445,0.47838353128914357
city_context_boundary,unlock_fee_z:platform_any:ADFC_Gesamt_2022_rev_z,Unlock fee:Any platform:ADFC_Gesamt_2022_rev_z,4,0,0,0.011463113192963661,0.01542130189900467,0.4350289516046162,0.011333637350654718,0.43175838084735196
city_context_boundary,unlock_fee_z:platform_any:Congestion_Rank_in_Germany_z,Unlock fee:Any platform:Congestion_Rank_in_Germany_z,4,0,0,0.03546990091631303,0.009540942813032754,0.710541139216895,0.06139885901959331,0.1590407826374921
city_context_boundary,unlock_fee_z:platform_any:PT_availability_z,Unlock fee:Any platform:PT_availability_z,4,0,0,0.012527178256837489,0.021016423421579465,0.05609177757561522,0.004780151418953615,0.7424407474104261
city_context_boundary,unlock_fee_z:platform_any:Zentralitätskennziffer_2023_z,Unlock fee:Any platform:Zentralitätskennziffer_2023_z,4,0,0,-0.027059050447369386,-0.006172185205982871,0.8022389452077028,-0.03119720424070101,0.7052042490841544
city_context_boundary,unlock_fee_z:platform_any:average_montly_income_z,Unlock fee:Any platform:average_montly_income_z,4,0,0,0.026994461010566722,-0.009806080601951268,0.6509113850028623,0.06387636578854612,0.2000220774564273
city_context_boundary,unlock_fee_z:platform_any:mean_parkgebuehr_offroad_z,Unlock fee:Any platform:mean_parkgebuehr_offroad_z,4,0,0,-0.041012436928600834,-0.005385618550848524,0.8091539542603816,-0.07245010556091772,0.07453746951770314
city_context_boundary,unlock_fee_z:platform_any:share_15to29y_z,Unlock fee:Any platform:share_15to29y_z,4,0,0,0.006151538197056834,0.002232520145798368,0.9419951046196332,0.006325262582310935,0.8577294555860231
platform_specific_pricing,price_per_minute_z:platform_Free_Now_clean,Price/min:platform_Free_Now_clean,4,0,0,0.03284004660429229,0.017653912449783038,0.676802143013892,0.04802618075880154,0.06915534897141312
platform_specific_pricing,unlock_fee_z:platform_Free_Now_clean,Unlock fee:platform_Free_Now_clean,4,0,0,-0.03608045111959012,-0.04173973999605278,0.11755284180645048,-0.03486674511937685,0.06503430004468305
trip_context_boundary,price_per_minute_z:platform_any:avg_start_transit_distance_m_z,Price/min:Any platform:avg_start_transit_distance_m_z,4,0,0,0.20172810215038045,0.30156858252862645,0.4539736553287659,0.10188762177213447,0.7218123364573216
trip_context_boundary,price_per_minute_z:platform_any:avg_weather_precipitation_mm_z,Price/min:Any platform:avg_weather_precipitation_mm_z,4,0,0,-0.0054621958445250345,-0.00176311781190769,0.5228443663177187,-0.004321617872598269,0.07879393620462864
trip_context_boundary,unlock_fee_z:platform_any:avg_start_transit_distance_m_z,Unlock fee:Any platform:avg_start_transit_distance_m_z,4,0,0,-0.19807314721357822,-0.2586937963420908,0.6203871974312023,-0.13745249808506563,0.7047258382152017
trip_context_boundary,unlock_fee_z:platform_any:avg_weather_precipitation_mm_z,Unlock fee:Any platform:avg_weather_precipitation_mm_z,4,0,0,0.001256023824221015,0.0013634488035482806,0.675073582601434,0.0014027330428270973,0.6542914923396157
