model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,significant_05,label,estimate,effect_direction
platform_intensity_maturity_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_exposure_count_intensity_z,0.11667087680771991,0.05482091853990959,0.0333189961755568,0.00922385087009299,0.22411790274534682,11149,75,30,0.8417966829396306,0.8388771625626715,scooter_only,platform_intensity_maturity,True,Price/min:platform_exposure_count_intensity_z,0.117*,positive
platform_intensity_maturity_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_maturity_days_z,-0.0372641190994211,0.027236409203918507,0.17125793765894015,-0.09064650020729662,0.01611826200845442,11149,75,30,0.8417966829396306,0.8388771625626715,scooter_only,platform_intensity_maturity,False,Price/min:platform_maturity_days_z,-0.037,negative
platform_intensity_maturity_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_count_intensity_z,-0.023216977934326165,0.02459557935509748,0.3451955984391709,-0.07142342764921411,0.02498947178056178,11149,75,30,0.8866459665488124,0.8841943947109752,scooter_only,platform_intensity_maturity,False,Unlock fee:platform_count_intensity_z,-0.023,negative
platform_intensity_maturity_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_exposure_count_intensity_z,0.011221825217154464,0.020578748126599274,0.5855393893911253,-0.02911177995790122,0.05155543039221015,11149,75,30,0.8866459665488124,0.8841943947109752,scooter_only,platform_intensity_maturity,False,Unlock fee:platform_exposure_count_intensity_z,0.011,positive
platform_intensity_maturity_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_maturity_days_z,-0.16256830046969445,0.029586206410341407,3.913022986850542e-08,-0.22055619947313168,-0.10458040146625722,11149,75,30,0.8866459665488124,0.8841943947109752,scooter_only,platform_intensity_maturity,True,Unlock fee:platform_maturity_days_z,-0.163***,negative
platform_intensity_maturity_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_count_intensity_z,0.07498730247758623,0.019497543113462648,0.00012006800001667162,0.03677282018818248,0.11320178476698997,11149,75,30,0.8866459665488124,0.8841943947109752,scooter_only,platform_intensity_maturity,True,Price/min:platform_count_intensity_z,0.075***,positive
platform_intensity_maturity_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_exposure_count_intensity_z,-0.05235960124947394,0.015265195552833082,0.0006035840903082741,-0.08227883474998778,-0.0224403677489601,11149,75,30,0.8866459665488124,0.8841943947109752,scooter_only,platform_intensity_maturity,True,Price/min:platform_exposure_count_intensity_z,-0.052***,negative
platform_intensity_maturity_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_maturity_days_z,0.14390670093577246,0.054048849810573396,0.007755558410381226,0.03797290190123408,0.24984049997031083,11149,75,30,0.8866459665488124,0.8841943947109752,scooter_only,platform_intensity_maturity,True,Price/min:platform_maturity_days_z,0.144**,positive
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_Free_Now_clean,-0.04173973999605278,0.02666857499155456,0.11755284180645048,-0.09400918649850529,0.010529706506399734,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,False,Unlock fee:platform_Free_Now_clean,-0.042,negative
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_Jelbi_clean,-0.029924412639898413,0.0380815836550276,0.4319861405709333,-0.10456294507800169,0.044714119798204874,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,False,Unlock fee:platform_Jelbi_clean,-0.030,negative
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_hvv_switch_clean,-0.15654294342555383,0.06905347367843108,0.023391359337175933,-0.29188526484266336,-0.021200622008444303,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,True,Unlock fee:platform_hvv_switch_clean,-0.157*,negative
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_myVRN_clean,-0.4709991362474573,0.32478673525511864,0.1470084092936866,-1.1075694400038354,0.1655711675089207,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,False,Unlock fee:platform_myVRN_clean,-0.471,negative
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_redy_clean,0.0315264266123038,0.04478727670708197,0.4814858384311608,-0.05625502269920653,0.11930787592381413,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,False,Unlock fee:platform_redy_clean,0.032,positive
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_BONNmobil_clean,-0.023218320177111323,0.010358348133812218,0.02499318810862738,-0.04352030945871095,-0.0029163308955116943,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,True,Unlock fee:platform_BONNmobil_clean,-0.023*,negative
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_KVV_regiomove_clean,0.010395499457601085,0.016463986696986455,0.5277735266535386,-0.02187332151043893,0.0426643204256411,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,False,Unlock fee:platform_KVV_regiomove_clean,0.010,positive
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_LeipzigMOVE_clean,-0.015117338193989253,0.02164340832719437,0.48488138401113245,-0.05753763901798452,0.027302962630006016,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,False,Unlock fee:platform_LeipzigMOVE_clean,-0.015,negative
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_Free_Now_clean,0.017653912449783038,0.04235270224015205,0.676802143013892,-0.06535585858886385,0.10066368348842993,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,False,Price/min:platform_Free_Now_clean,0.018,positive
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_Jelbi_clean,-0.03341856080209018,0.024730324014704437,0.17659321535625416,-0.08188910519691688,0.015051983592736518,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,False,Price/min:platform_Jelbi_clean,-0.033,negative
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_hvv_switch_clean,0.044792499688838056,0.02928958597716992,0.12619063231558564,-0.012614033948504397,0.10219903332618051,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,False,Price/min:platform_hvv_switch_clean,0.045,positive
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_myVRN_clean,0.3616907542619503,0.32907319462073265,0.27171595978321195,-0.2832808554722256,1.006662363996126,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,False,Price/min:platform_myVRN_clean,0.362,positive
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_redy_clean,-0.19585410064051925,0.07294932811380828,0.007257397996704243,-0.3388321564399787,-0.05287604484105979,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,True,Price/min:platform_redy_clean,-0.196**,negative
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_BONNmobil_clean,-0.030153785978421506,0.020419146654289805,0.1397451439011658,-0.07017457801587107,0.009867006059028058,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,False,Price/min:platform_BONNmobil_clean,-0.030,negative
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_KVV_regiomove_clean,-0.09083338333317413,0.01448394290204243,3.5800912317967576e-10,-0.11922138977531185,-0.062445376891036415,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,True,Price/min:platform_KVV_regiomove_clean,-0.091***,negative
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_LeipzigMOVE_clean,-0.0645253728755203,0.015874748820925183,4.8103618455013225e-05,-0.09563930882815336,-0.033411436922887255,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,True,Price/min:platform_LeipzigMOVE_clean,-0.065***,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_Free_Now_clean,-0.03486674511937685,0.018897736794972708,0.06503430004468305,-0.07190562862684075,0.0021721383880870457,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,False,Unlock fee:platform_Free_Now_clean,-0.035+,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_Jelbi_clean,-0.0651801948066183,0.001832961991157492,5.813480924020809e-277,-0.06877273429431781,-0.061587655318918785,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,True,Unlock fee:platform_Jelbi_clean,-0.065***,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_hvv_switch_clean,-0.06794822172322969,0.008337787306543122,3.656408142987928e-16,-0.08428998455480943,-0.05160645889164994,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,True,Unlock fee:platform_hvv_switch_clean,-0.068***,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_myVRN_clean,-0.1299755874104745,0.0065773044103475545,6.422796284612949e-87,-0.14286686717011216,-0.11708430765083683,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,True,Unlock fee:platform_myVRN_clean,-0.130***,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_redy_clean,-0.07572503338442092,0.00475096364923552,3.404070812919228e-57,-0.08503675102878153,-0.06641331574006032,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,True,Unlock fee:platform_redy_clean,-0.076***,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_BONNmobil_clean,-0.05644230251936011,0.0033958535170520504,4.914979358574894e-62,-0.0630980531095558,-0.04978655192916442,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,True,Unlock fee:platform_BONNmobil_clean,-0.056***,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_KVV_regiomove_clean,-0.03338785384509651,0.00275860848148743,1.0163422070684216e-33,-0.0387946271162586,-0.02798108057393442,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,True,Unlock fee:platform_KVV_regiomove_clean,-0.033***,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_LeipzigMOVE_clean,-0.059882100851298935,0.006246447246672902,9.104828736882758e-22,-0.07212491248610721,-0.04763928921649066,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,True,Unlock fee:platform_LeipzigMOVE_clean,-0.060***,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_Free_Now_clean,0.04802618075880154,0.026425711294636493,0.06915534897141312,-0.0037672616445393117,0.09981962316214238,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,False,Price/min:platform_Free_Now_clean,0.048+,positive
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_Jelbi_clean,-0.06683509916468157,0.003602239534659254,7.603741123525246e-77,-0.07389535891630003,-0.05977483941306311,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,True,Price/min:platform_Jelbi_clean,-0.067***,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_hvv_switch_clean,-0.0158690979270129,0.0026245761682524484,1.4816691303815112e-09,-0.021013172691469836,-0.010725023162555962,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,True,Price/min:platform_hvv_switch_clean,-0.016***,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_myVRN_clean,-0.04912952706858108,0.003066992887758098,9.446478177932061e-58,-0.05514072266942745,-0.04311833146773471,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,True,Price/min:platform_myVRN_clean,-0.049***,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_redy_clean,-0.10289083996662783,0.003508045320531461,4.304467418403412e-189,-0.10976648245100376,-0.0960151974822519,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,True,Price/min:platform_redy_clean,-0.103***,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_BONNmobil_clean,-0.07196126715219317,0.003688852876394661,9.432039786646949e-85,-0.0791912859341937,-0.06473124837019265,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,True,Price/min:platform_BONNmobil_clean,-0.072***,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_KVV_regiomove_clean,-0.09076838771344964,0.0019427334575195206,0.0,-0.09457607532174887,-0.0869607001051504,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,True,Price/min:platform_KVV_regiomove_clean,-0.091***,negative
platform_specific_pricing_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_LeipzigMOVE_clean,-0.08810511671311058,0.005894996948181404,1.660258716760655e-50,-0.09965909842051966,-0.0765511350057015,14514,97,30,0.9001882839398666,0.8983960556091243,all,platform_specific_pricing,True,Price/min:platform_LeipzigMOVE_clean,-0.088***,negative
