model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,significant_05,label
type_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:local_only:competition_z,0.020807826083662714,0.029892011061907673,0.4863662655383788,-0.03777943902314922,0.07939509119047465,11149,75,30,0.8517795370460359,False,Unlock fee:Local MaaS only:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:local_only,0.19898616722406604,0.20234583355633384,0.3254123742355157,-0.19760437896808464,0.5955767134162167,11149,75,30,0.8517795370460359,False,Price/min:Local MaaS only
type_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:local_only:competition_z,0.07999221109753533,0.10050841103628184,0.4261042338677622,-0.11700065467692518,0.27698507687199586,11149,75,30,0.8517795370460359,False,Price/min:Local MaaS only:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:multi_platform,-0.10824478604438059,0.03922197568673414,0.005783685846388204,-0.18511844579288517,-0.03137112629587602,11149,75,30,0.8517795370460359,True,Unlock fee:Multi-platform
type_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,multi_platform:competition_z,-0.08075369933177355,0.028698754651547236,0.004895361085458183,-0.1370022248499575,-0.024505173813589617,11149,75,30,0.8517795370460359,True,Multi-platform:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:multi_platform:competition_z,0.023446641172394894,0.02757350950103773,0.3951404559179149,-0.030596444377012054,0.07748972672180185,11149,75,30,0.8517795370460359,False,Unlock fee:Multi-platform:Competition
type_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:multi_platform,0.05697626644737635,0.09455626574549567,0.5467983197645414,-0.12835060892639355,0.24230314182114626,11149,75,30,0.8517795370460359,False,Price/min:Multi-platform
type_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:multi_platform:competition_z,0.004951974230821715,0.07757713755717438,0.9491032754388743,-0.14709642140494966,0.1570003698665931,11149,75,30,0.8517795370460359,False,Price/min:Multi-platform:Competition
any_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,0.008977748088108141,0.04025820460594807,0.823532249739463,-0.06992688302179459,0.08788237919801087,11149,75,30,0.8835181051504082,False,Unlock fee:Any platform
any_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:competition_z,-0.06208906698300274,0.03520963713114458,0.07783116927690004,-0.1310986876687703,0.006920553702764835,11149,75,30,0.8835181051504082,False,Unlock fee:Competition
any_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,platform_any:competition_z,-0.00042546031161625906,0.04838446293379219,0.9929840320925057,-0.09525726507316216,0.09440634444992964,11149,75,30,0.8835181051504082,False,Any platform:Competition
any_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:competition_z,0.06621500232604938,0.0904223974364631,0.4639943829691673,-0.11100964004518521,0.24343964469728396,11149,75,30,0.8835181051504082,False,Unlock fee:Any platform:Competition
any_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_any,0.014341939086578919,0.09507548275757849,0.8800956818151222,-0.17200258293103382,0.20068646110419164,11149,75,30,0.8835181051504082,False,Price/min:Any platform
any_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:competition_z,-0.15395373489114614,0.08184868863230281,0.05997798271713546,-0.3143742167922926,0.006466747010000301,11149,75,30,0.8835181051504082,False,Price/min:Competition
any_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_any:competition_z,-0.059456814988316384,0.1548646373746559,0.7010320784651185,-0.36298592672149754,0.24407229674486475,11149,75,30,0.8835181051504082,False,Price/min:Any platform:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:large_only,0.008712835153373103,0.04036210662508239,0.8290916471141672,-0.07039544017195389,0.0878211104787001,11149,75,30,0.8843570970391048,False,Unlock fee:FreeNow only
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:competition_z,0.09971316531153768,0.055055125889868495,0.07011742736903132,-0.008192898596923265,0.20761922921999862,11149,75,30,0.8843570970391048,False,Unlock fee:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,large_only:competition_z,-0.0005455055597909195,0.0484796517954715,0.9910221863546115,-0.09556387706195762,0.09447286594237578,11149,75,30,0.8843570970391048,False,FreeNow only:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:large_only:competition_z,0.06561017651875974,0.09064265974501359,0.4691680761301946,-0.11204617204438545,0.24326652508190494,11149,75,30,0.8843570970391048,False,Unlock fee:FreeNow only:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:large_only,0.0154204378911278,0.09531068833873402,0.8714702232036171,-0.1713850785945126,0.20222595437676819,11149,75,30,0.8843570970391048,False,Price/min:FreeNow only
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:competition_z,-0.4609231894484596,0.08458854649030086,5.065314135612149e-08,-0.6267136940740413,-0.2951326848228779,11149,75,30,0.8843570970391048,True,Price/min:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:large_only:competition_z,-0.058036413719138785,0.15522467500229367,0.7084887450292774,-0.3622711862355692,0.24619835879729166,11149,75,30,0.8843570970391048,False,Price/min:FreeNow only:Competition
type_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:local_only,-1.1527847132943858,0.36319281028157874,0.0015033838268692108,-1.8646295408901687,-0.4409398856986029,11149,75,30,0.8843570970391048,True,Unlock fee:Local MaaS only
