model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,moderator,moderator_category,moderator_centrality,platform_family,significant_05,label,estimate,effect_direction
active_vehicle_share_same_mode_platform_types_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,active_vehicle_share_same_mode_z:local_maas_only,0.04497046555473546,0.02078345118064737,0.03048253250517568,0.004235649766220151,0.08570528134325077,13768,92,30,0.8225197490178284,0.8198768436954254,no_weak_exposure,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,platform_types,True,active_vehicle_share_same_mode_z:Local MaaS only,0.045*,positive
active_vehicle_share_same_mode_platform_types_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,active_vehicle_share_same_mode_z:multi_platform,0.05010590964394786,0.022913348154848513,0.028760315328934596,0.005196572495217475,0.09501524679267824,13768,92,30,0.8225197490178284,0.8198768436954254,no_weak_exposure,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,platform_types,True,active_vehicle_share_same_mode_z:Multi-platform,0.050*,positive
active_vehicle_share_same_mode_platform_types_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,active_vehicle_share_same_mode_z:large_aggregator_only,0.02581753497218523,0.010257928288883236,0.011841354757476772,0.005712364969979504,0.04592270497439096,13768,92,30,0.9075022932768003,0.9057636403124184,no_weak_exposure,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,platform_types,True,active_vehicle_share_same_mode_z:FreeNow only,0.026*,positive
active_vehicle_share_same_mode_platform_types_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,active_vehicle_share_same_mode_z:multi_platform,0.019036611589835287,0.008263063444345688,0.021232744743972857,0.0028413048369482496,0.035231918342722324,13768,92,30,0.9075022932768003,0.9057636403124184,no_weak_exposure,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,platform_types,True,active_vehicle_share_same_mode_z:Multi-platform,0.019*,positive
night_trip_share_platform_types_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,night_trip_share_z:local_maas_only,-0.018394016653669895,0.005458950520947594,0.0007530054309580034,-0.029093363068113345,-0.007694670239226445,13768,92,30,0.8136377412648057,0.8108625716175879,no_weak_exposure,platform_feature_moderation,night_trip_share,process_usage_context,medium,platform_types,True,night_trip_share_z:Local MaaS only,-0.018***,negative
night_trip_share_platform_types_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,night_trip_share_z:local_maas_only,-0.016083349577772795,0.0041473105564495795,0.00010531044844585983,-0.024211928901116744,-0.007954770254428848,13768,92,30,0.9082530907105649,0.906528550271024,no_weak_exposure,platform_feature_moderation,night_trip_share,process_usage_context,medium,platform_types,True,night_trip_share_z:Local MaaS only,-0.016***,negative
reservation_available_platform_types_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,reservation_available_external:multi_platform,-0.058474718153291805,0.020960890171649472,0.005275594599841152,-0.09955730797362436,-0.01739212833295925,13768,92,30,0.9027100905722865,0.9008886944582409,no_weak_exposure,platform_feature_moderation,reservation_available,process_product,medium,platform_types,True,reservation_available_external:Multi-platform,-0.058**,negative
free_unlock_pass_platform_types_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,free_unlock_pass_external:local_maas_only,-0.04754809356313666,0.021145603885474692,0.024537689409872054,-0.08899271561001729,-0.006103471516256037,13768,92,30,0.9025892753608247,0.9007803014125831,no_weak_exposure,platform_feature_moderation,free_unlock_pass,price_pass,high,platform_types,True,free_unlock_pass_external:Local MaaS only,-0.048*,negative
free_unlock_pass_platform_types_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,free_unlock_pass_external:multi_platform,-0.03062074274036835,0.00997845330472936,0.0021500224110489715,-0.050178151839052575,-0.011063333641684124,13768,92,30,0.9025892753608247,0.9007803014125831,no_weak_exposure,platform_feature_moderation,free_unlock_pass,price_pass,high,platform_types,True,free_unlock_pass_external:Multi-platform,-0.031**,negative
same_platform_competition_platform_types_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,same_platform_competitor_count_day_z:large_aggregator_only,-0.2914679301622026,0.012439932927996089,2.1130978946186833e-121,-0.3158497506711689,-0.26708610965323637,11149,75,30,0.8313062464027865,0.8282402077722407,scooter_only,platform_feature_moderation,same_platform_competition,platform_competition,high,platform_types,True,same_platform_competitor_count_day_z:FreeNow only,-0.291***,negative
same_platform_competition_platform_types_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,same_platform_competitor_count_day_z:local_maas_only,-0.27853328869309535,0.011869946882803597,9.200767344955776e-122,-0.30179795708179386,-0.25526862030439684,11149,75,30,0.8313062464027865,0.8282402077722407,scooter_only,platform_feature_moderation,same_platform_competition,platform_competition,high,platform_types,True,same_platform_competitor_count_day_z:Local MaaS only,-0.279***,negative
same_platform_competition_platform_types_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,same_platform_competitor_count_day_z:multi_platform,-0.3017224967890317,0.012593970164482049,7.682268513794414e-127,-0.3264062247337885,-0.27703876884427486,11149,75,30,0.8313062464027865,0.8282402077722407,scooter_only,platform_feature_moderation,same_platform_competition,platform_competition,high,platform_types,True,same_platform_competitor_count_day_z:Multi-platform,-0.302***,negative
unlock_fee_gap_same_mode_any_platform_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:platform_any,-0.028487657721153713,0.009750290416934728,0.0034809983808221402,-0.047597875777151806,-0.00937743966515562,11149,75,30,0.8317799511634649,0.8287694389673399,scooter_only,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,any_platform,True,unlock_fee_gap_to_same_mode_min_z:Any platform,-0.028**,negative
unlock_fee_gap_same_mode_platform_types_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:local_maas_only,-0.04674877368506389,0.0145667850326014,0.0013307159213083737,-0.07529914771949975,-0.018198399650628028,11149,75,30,0.8350788665294051,0.8320660580991787,scooter_only,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,True,unlock_fee_gap_to_same_mode_min_z:Local MaaS only,-0.047**,negative
unlock_fee_gap_same_mode_platform_types_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:multi_platform,-0.049137695866688494,0.01486283760211456,0.000946118496287182,-0.07826832227490069,-0.020007069458476297,11149,75,30,0.8350788665294051,0.8320660580991787,scooter_only,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,True,unlock_fee_gap_to_same_mode_min_z:Multi-platform,-0.049***,negative
