family,moderator,category,centrality,term,label,n_models,n_negative_sig_05,n_positive_sig_05,median_coef,all_market_fe_coef,all_market_fe_p,all_unit_fe_coef,all_unit_fe_p
high_fee_feature_moderation,free_unlock_pass,price_pass,high,unlock_fee_ge_1_00:local_maas_only:free_unlock_pass_external,unlock_fee_ge_1_00:Local MaaS only:free_unlock_pass_external,6,0,0,114593.53808974715,15711077.549164211,,351769629.3405201,0.9999998574253645
high_fee_feature_moderation,minute_bundle,price_pass,high,unlock_fee_ge_1_00:large_aggregator_only:minute_bundle_external,unlock_fee_ge_1_00:FreeNow only:minute_bundle_external,6,0,0,58598732.4886709,82967401.30302238,0.9999948114337162,403265852.3036903,0.9999990253110133
high_fee_feature_moderation,minute_bundle,price_pass,high,unlock_fee_ge_1_00:local_maas_only:minute_bundle_external,unlock_fee_ge_1_00:Local MaaS only:minute_bundle_external,6,0,0,-4093101.258532179,-24538040.82328828,0.999999915817381,-33805219.72981659,0.9999987725440007
high_fee_feature_moderation,minute_bundle,price_pass,high,unlock_fee_ge_1_00:multi_platform:minute_bundle_external,unlock_fee_ge_1_00:Multi-platform:minute_bundle_external,6,0,0,-23740561.18816334,-767911497.6741754,0.9999971919779774,-811250332.9934196,0.9999990773732659
high_fee_feature_moderation,same_mode_competition,competition,high,unlock_fee_ge_1_00:local_maas_only:same_mode_competitor_count_day_z,unlock_fee_ge_1_00:Local MaaS only:same_mode_competitor_count_day_z,6,0,0,-0.02553718623948857,0.04869487550444266,0.3478758926517821,-0.021316424160408614,0.37153523168520286
high_fee_feature_moderation,same_mode_competition,competition,high,unlock_fee_ge_1_00:multi_platform:same_mode_competitor_count_day_z,unlock_fee_ge_1_00:Multi-platform:same_mode_competitor_count_day_z,6,0,0,0.007083743662107102,0.00503965371567549,0.895677189529857,0.011323328467110183,0.69542062801999
high_fee_feature_moderation,same_platform_competition,platform_competition,high,unlock_fee_ge_1_00:large_aggregator_only:same_platform_competitor_count_day_z,unlock_fee_ge_1_00:FreeNow only:same_platform_competitor_count_day_z,6,0,0,311605710.60108334,623211421.2442092,,5538200425.357223,
platform_feature_moderation,free_unlock_pass,price_pass,high,free_unlock_pass_external:large_aggregator_only,free_unlock_pass_external:FreeNow only,6,0,0,-5748844.250415785,4125466076.612398,,-3967557330.1439614,
platform_feature_moderation,free_unlock_pass,price_pass,high,free_unlock_pass_external:platform_any,free_unlock_pass_external:Any platform,6,0,0,0.005374861097720014,-0.17055315850603367,,0.005738573155061474,0.9999643689217925
platform_feature_moderation,minute_bundle,price_pass,high,minute_bundle_external:large_aggregator_only,minute_bundle_external:FreeNow only,6,0,0,70107056.63288714,1610644323.038608,0.9999971850455517,-1658481998.1807392,
platform_feature_moderation,minute_bundle,price_pass,high,minute_bundle_external:local_maas_only,minute_bundle_external:Local MaaS only,6,0,0,-2137818.8498451794,-1127506044.1885166,0.9999979282725467,18933542.297787752,
platform_feature_moderation,minute_bundle,price_pass,high,minute_bundle_external:multi_platform,minute_bundle_external:Multi-platform,6,0,0,-13066850.303598754,-566544290.713719,,-95055630.31586954,0.9999982987802126
platform_feature_moderation,minute_bundle,price_pass,high,minute_bundle_external:platform_any,minute_bundle_external:Any platform,6,0,0,86870954.73183148,-10228930126.696003,0.9999999241617452,358985553.49539334,0.9999988182829533
platform_feature_moderation,price_per_minute_gap_same_mode,relative_price_position,high,price_per_minute_gap_to_same_mode_min_z:multi_platform,price_per_minute_gap_to_same_mode_min_z:Multi-platform,6,0,0,-0.009714117220378474,-0.011084422684933044,0.6367022634505912,-0.009717400624857363,0.20376667532481219
platform_feature_moderation,price_per_minute_gap_same_mode,relative_price_position,high,price_per_minute_gap_to_same_mode_min_z:platform_any,price_per_minute_gap_to_same_mode_min_z:Any platform,6,0,0,0.006629025048309254,0.02089692298604597,0.14081733184987277,0.004928122857797594,0.42105721703273635
platform_feature_moderation,same_mode_competition,competition,high,same_mode_competitor_count_day_z:large_aggregator_only,same_mode_competitor_count_day_z:FreeNow only,6,0,0,0.00267334284506954,0.01941754717261989,0.41834252406040495,0.0024627676847041643,0.8415225942036232
platform_feature_moderation,same_mode_competition,competition,high,same_mode_competitor_count_day_z:multi_platform,same_mode_competitor_count_day_z:Multi-platform,6,0,0,-0.011975835394186823,0.008065718132368536,0.7266360502456809,-0.01200733824342434,0.2310644719678231
platform_feature_moderation,same_platform_competition,platform_competition,high,same_platform_competitor_count_day_z:platform_any,same_platform_competitor_count_day_z:Any platform,6,0,0,-127495290.72616196,250657344133.3273,,338840905439.5937,
platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,active_vehicle_hhi_same_mode_day_z:large_aggregator_only,active_vehicle_hhi_same_mode_day_z:FreeNow only,6,0,0,-0.03574808118573522,-0.060573448174423804,0.08185958636519391,-0.036356389674847424,0.05333905524986598
platform_feature_moderation,commute_peak_share,process_usage_context,medium,commute_peak_trip_share_z:large_aggregator_only,commute_peak_trip_share_z:FreeNow only,6,0,0,-0.0026099558419630338,-0.005452065854862453,0.1911429667100898,-0.001911769881443771,0.4566129883117932
platform_feature_moderation,commute_peak_share,process_usage_context,medium,commute_peak_trip_share_z:multi_platform,commute_peak_trip_share_z:Multi-platform,6,0,0,-0.004614371637292913,-0.007322377546576545,0.06174068209026248,-0.004286498204856926,0.13321601527571028
platform_feature_moderation,commute_peak_share,process_usage_context,medium,commute_peak_trip_share_z:platform_any,commute_peak_trip_share_z:Any platform,6,0,0,0.0003338160943166065,0.0005058223179549774,0.8911344736869522,0.0004635491682479974,0.8576154027318199
platform_feature_moderation,night_trip_share,process_usage_context,medium,night_trip_share_z:large_aggregator_only,night_trip_share_z:FreeNow only,6,0,0,0.001017011562587043,0.005291531194799948,0.19159541719253592,7.971560053887097e-05,0.9770503946062633
platform_feature_moderation,night_trip_share,process_usage_context,medium,night_trip_share_z:multi_platform,night_trip_share_z:Multi-platform,6,0,0,0.0012459643536720298,0.003274717880543048,0.4284563720280342,0.0006709433632336123,0.8344770366726806
platform_feature_moderation,night_trip_share,process_usage_context,medium,night_trip_share_z:platform_any,night_trip_share_z:Any platform,6,0,0,-0.0021229555199183004,-0.002045488293714883,0.6100691131095466,-0.0033126419845675506,0.2440796296399197
platform_feature_moderation,parking_geofence_rules,place_process_friction,medium,mandatory_parking_or_geofence_rules_external:large_aggregator_only,mandatory_parking_or_geofence_rules_external:FreeNow only,6,0,0,43995691.373917304,860238096.6396096,0.906498503044758,-1149561152.867419,
platform_feature_moderation,parking_geofence_rules,place_process_friction,medium,mandatory_parking_or_geofence_rules_external:local_maas_only,mandatory_parking_or_geofence_rules_external:Local MaaS only,6,0,0,-2137818.8498451794,-656889732.2976002,0.8959712709782034,-184542993.5140144,
platform_feature_moderation,parking_geofence_rules,place_process_friction,medium,mandatory_parking_or_geofence_rules_external:multi_platform,mandatory_parking_or_geofence_rules_external:Multi-platform,6,0,0,-13731375.959436622,-137296213.6812647,0.9034008257650821,-100164551.72484002,0.9999588310541546
platform_feature_moderation,parking_geofence_rules,place_process_friction,medium,mandatory_parking_or_geofence_rules_external:platform_any,mandatory_parking_or_geofence_rules_external:Any platform,6,0,0,86870954.73183148,-6582414498.584685,0.9118308695316838,192185622.61951342,
platform_feature_moderation,reservation_available,process_product,medium,reservation_available_external:large_aggregator_only,reservation_available_external:FreeNow only,6,0,0,-0.00931051467328667,0.02621222475272844,,-0.012285194237367802,0.43425888195960494
platform_feature_moderation,reservation_available,process_product,medium,reservation_available_external:platform_any,reservation_available_external:Any platform,6,0,0,-0.009751227358894131,0.0870965563886372,0.9999811826598682,-0.014953555154712684,0.3141584295012031
high_fee_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,unlock_fee_ge_1_00:large_aggregator_only:unlock_fee_gap_to_same_mode_min_z,unlock_fee_ge_1_00:FreeNow only:unlock_fee_gap_to_same_mode_min_z,6,0,0,0.011994229640041378,0.02484384126344976,0.18777146781980347,0.012027413492100129,0.4995144022081077
platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,unlock_fee_gap_to_same_mode_min_z:large_aggregator_only,unlock_fee_gap_to_same_mode_min_z:FreeNow only,6,0,0,-0.009382781502640151,-0.025666140812000488,0.0590843366523539,-0.00809661202578708,0.3466013187312226
