model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,dropped_city,significant_05,label,estimate,effect_direction
city_sensitivity_unlock_fee_ge_1_00_market_fe_drop_berlin,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.12300758056070789,0.041059460909661706,0.002736898847986555,-0.20348264516827502,-0.04253251595314074,13911,93,29,0.7774313253986984,0.7742174545139947,drop_berlin,leave_one_platform_city,BERLIN,True,unlock_fee_ge_1_00:Multi-platform,-0.123**,negative
city_sensitivity_unlock_fee_ge_1_00_unit_fe_drop_berlin,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.03576833453665173,0.010399309389630648,0.0005828084408377787,-0.05615060640441701,-0.015386062668886445,13911,93,29,0.9003008962448317,0.898461375513663,drop_berlin,leave_one_platform_city,BERLIN,True,unlock_fee_ge_1_00:Local MaaS only,-0.036***,negative
city_sensitivity_unlock_fee_ge_1_00_unit_fe_drop_berlin,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.08530423008227273,0.008874408243096314,7.0887543844444575e-22,-0.10269775062284688,-0.06791070954169857,13911,93,29,0.9003008962448317,0.898461375513663,drop_berlin,leave_one_platform_city,BERLIN,True,unlock_fee_ge_1_00:Multi-platform,-0.085***,negative
city_sensitivity_unlock_fee_ge_1_20_market_fe_drop_berlin,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.21767089314685312,0.04109484113889899,1.1785375359763506e-07,-0.2982153017294901,-0.1371264845642161,13911,93,29,0.7775522867885463,0.7743401625750204,drop_berlin,leave_one_platform_city,BERLIN,True,unlock_fee_ge_1_20:Local MaaS only,-0.218***,negative
city_sensitivity_unlock_fee_ge_1_20_market_fe_drop_berlin,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.12992767371260405,0.04048247629774777,0.001329755751491087,-0.20927186926118607,-0.05058347816402205,13911,93,29,0.7775522867885463,0.7743401625750204,drop_berlin,leave_one_platform_city,BERLIN,True,unlock_fee_ge_1_20:Multi-platform,-0.130**,negative
city_sensitivity_unlock_fee_ge_1_20_unit_fe_drop_berlin,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.038695823571299255,0.010948410183655832,0.000408735586293971,-0.06015431321923624,-0.017237333923362266,13911,93,29,0.9002351554249834,0.8983944217280363,drop_berlin,leave_one_platform_city,BERLIN,True,unlock_fee_ge_1_20:Local MaaS only,-0.039***,negative
city_sensitivity_unlock_fee_ge_1_20_unit_fe_drop_berlin,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.07380923520948157,0.011641746541805104,2.296931623943053e-10,-0.0966266391485633,-0.05099183127039984,13911,93,29,0.9002351554249834,0.8983944217280363,drop_berlin,leave_one_platform_city,BERLIN,True,unlock_fee_ge_1_20:Multi-platform,-0.074***,negative
city_sensitivity_unlock_fee_ge_0_99_market_fe_drop_bielefeld,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.20309455620614833,0.039274646633754025,2.326746014721608e-07,-0.2800714491138435,-0.12611766329845317,14055,94,29,0.7868820170983988,0.7838365955759885,drop_bielefeld,leave_one_platform_city,BIELEFELD,True,unlock_fee_ge_0_99:Local MaaS only,-0.203***,negative
city_sensitivity_unlock_fee_ge_0_99_market_fe_drop_bielefeld,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.08604104253338406,0.04150295445246278,0.03816013213533532,-0.16738533851221737,-0.00469674655455074,14055,94,29,0.7868820170983988,0.7838365955759885,drop_bielefeld,leave_one_platform_city,BIELEFELD,True,unlock_fee_ge_0_99:Multi-platform,-0.086*,negative
city_sensitivity_unlock_fee_ge_0_99_unit_fe_drop_bielefeld,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.04312812213708383,0.01212592353297317,0.0003755602853545629,-0.06689449554099794,-0.019361748733169724,14055,94,29,0.9013257409573004,0.899516843954344,drop_bielefeld,leave_one_platform_city,BIELEFELD,True,unlock_fee_ge_0_99:Local MaaS only,-0.043***,negative
