model,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,significant_05,label
any_platform_moderation_unit_fe_no_weak_exposure,log_trip_count_day,price_per_minute_z:platform_any,0.058317656770553006,0.06022548161782,0.33288359771548925,-0.05972211815195326,0.17635743169305929,13768,92,30,0.9733067101151623,0.9728069763323546,False,Price/min:Any platform
any_platform_moderation_unit_fe_no_weak_exposure,log_trip_count_day,unlock_fee_z:platform_any,-0.07437252525583782,0.06435135718521445,0.24779332213534677,-0.20049886769513098,0.05175381718345534,13768,92,30,0.9733067101151623,0.9728069763323546,False,Unlock fee:Any platform
any_platform_moderation_unit_fe_no_weak_exposure,log_trip_count_day,relative_fleet_size_z:platform_any,0.03639240002364859,0.03365783302758851,0.2795876653681829,-0.02957574050808763,0.10236054055538481,13768,92,30,0.9733067101151623,0.9728069763323546,False,Relative fleet:Any platform
any_platform_moderation_unit_fe_no_weak_exposure,log_trip_count_day,Coverage_z:platform_any,-0.03953496741895568,0.027054002667282133,0.14392346400816047,-0.09255983828447922,0.013489903446567857,13768,92,30,0.9733067101151623,0.9728069763323546,False,Coverage:Any platform
any_platform_moderation_unit_fe_no_weak_exposure,log_trip_count_day,Exclusive_Coverage_z:platform_any,-0.038763308820275566,0.04363857642470358,0.3743897342452097,-0.12429334694929327,0.046766729308742136,13768,92,30,0.9733067101151623,0.9728069763323546,False,Exclusive_Coverage:Any platform
any_platform_moderation_unit_fe_no_weak_exposure,log_trip_count_day,promo_active_clean:platform_any,0.6559770309698195,0.0196548334236858,3.177559362733082e-244,0.6174542653372612,0.6944997966023778,13768,92,30,0.9733067101151623,0.9728069763323546,True,Promotion:Any platform
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,large_aggregator_only,-0.17727474142038102,0.1288912950059643,0.16901310818599946,-0.4298970375527984,0.07534755471203636,13768,92,30,0.9338917456551524,0.9328479054404548,False,FreeNow only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,local_maas_only,0.22799193251940233,0.11067477706636641,0.039396906772358735,0.01107335547232463,0.44491050956648004,13768,92,30,0.9338917456551524,0.9328479054404548,True,Local MaaS only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,multi_platform_membership,0.43898701263238393,0.23091357197705664,0.05729049171132317,-0.013595271984144564,0.8915692972489124,13768,92,30,0.9338917456551524,0.9328479054404548,False,Multi-platform
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,weak_exposure_only,-3.8983711875893584e-16,7.525004941405475e-18,0.0,-4.045858574275765e-16,-3.750883800902952e-16,13768,92,30,0.9338917456551524,0.9328479054404548,True,Weak exposure only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,price_per_minute_z:large_aggregator_only,0.7751249515667338,0.28743345746942695,0.007002802755635097,0.21176572697483154,1.338484176158636,13768,92,30,0.9338917456551524,0.9328479054404548,True,Price/min:FreeNow only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,price_per_minute_z:local_maas_only,0.033151461174576055,0.08883499263841184,0.7090143244492813,-0.140961924963592,0.20726484731274408,13768,92,30,0.9338917456551524,0.9328479054404548,False,Price/min:Local MaaS only
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,price_per_minute_z:multi_platform_membership,-0.2580510272243497,0.3317780154739024,0.43669743669350114,-0.9083239884153711,0.3922219339666717,13768,92,30,0.9338917456551524,0.9328479054404548,False,Price/min:Multi-platform
type_moderation_market_fe_no_weak_exposure,log_trip_count_day,price_per_minute_z:weak_exposure_only,1.460857038064889e-16,7.417804340635143e-18,2.4308876164330492e-86,1.3154707445447914e-16,1.6062433315849868e-16,13768,92,30,0.9338917456551524,0.9328479054404548,True,Price/min:Weak exposure only
