model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,competition_measure,idea,significant_05,label,estimate,effect_direction
isolated_competition_active_operators_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,-0.0040532205006577155,0.009440318417374433,0.6676670097129179,-0.022555904601301767,0.014449463599986334,14514,97,30,0.9009933904421239,0.899201478462753,all,active_operators_z,isolated_competition_pricing,False,Unlock fee:Any platform,-0.004,negative
isolated_competition_active_operators_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:active_operators_z,0.0016228394641749375,0.009149081858793847,0.8592120342817438,-0.016309031470669772,0.01955471039901965,14514,97,30,0.9009933904421239,0.899201478462753,all,active_operators_z,isolated_competition_pricing,False,Unlock fee:Any platform:active_operators_z,0.002,positive
isolated_competition_market_fragmentation_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.08065964644105855,0.018592721332015213,1.4362970401225085e-05,-0.11710071062639796,-0.044218582255719154,14514,97,30,0.77627390786818,0.7731318631142325,all,market_fragmentation_z,isolated_competition_pricing,True,Unlock fee:Any platform,-0.081***,negative
isolated_competition_market_fragmentation_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:market_fragmentation_z,0.041836241243255974,0.018280060531576253,0.022101030102915316,0.006007980966154403,0.07766450152035755,14514,97,30,0.77627390786818,0.7731318631142325,all,market_fragmentation_z,isolated_competition_pricing,True,Unlock fee:Any platform:market_fragmentation_z,0.042*,positive
isolated_competition_market_fragmentation_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,-0.0024813096677082837,0.010867408394488319,0.8193929721565377,-0.023781038726193644,0.018818419390777073,14514,97,30,0.9004433524010185,0.8986414853311807,all,market_fragmentation_z,isolated_competition_pricing,False,Unlock fee:Any platform,-0.002,negative
isolated_competition_market_fragmentation_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:market_fragmentation_z,0.009612323046979133,0.01582430741811477,0.5435587086255168,-0.021402749572815828,0.0406273956667741,14514,97,30,0.9004433524010185,0.8986414853311807,all,market_fragmentation_z,isolated_competition_pricing,False,Unlock fee:Any platform:market_fragmentation_z,0.010,positive
isolated_competition_leave_one_out_competitor_trips_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.07600747584301568,0.01885024089343434,5.5262937958317136e-05,-0.11295326909405112,-0.039061682591980236,14514,97,30,0.7763642870981164,0.7732235116444217,all,leave_one_out_competitor_trips_z,isolated_competition_pricing,True,Unlock fee:Any platform,-0.076***,negative
isolated_competition_leave_one_out_competitor_trips_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:leave_one_out_competitor_trips_z,0.0017868345311356489,0.018304057799002522,0.9222343719874655,-0.03408845952584878,0.03766212858812008,14514,97,30,0.7763642870981164,0.7732235116444217,all,leave_one_out_competitor_trips_z,isolated_competition_pricing,False,Unlock fee:Any platform:leave_one_out_competitor_trips_z,0.002,positive
isolated_competition_leave_one_out_competitor_trips_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,0.003483563700933031,0.009288332281997314,0.7076253089257843,-0.014721233048222438,0.0216883604500885,14514,97,30,0.902824397834797,0.9010656250983099,all,leave_one_out_competitor_trips_z,isolated_competition_pricing,False,Unlock fee:Any platform,0.003,positive
isolated_competition_leave_one_out_competitor_trips_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:leave_one_out_competitor_trips_z,0.006870641851051854,0.010398575872422221,0.5087860476343191,-0.013510192349402872,0.02725147605150658,14514,97,30,0.902824397834797,0.9010656250983099,all,leave_one_out_competitor_trips_z,isolated_competition_pricing,False,Unlock fee:Any platform:leave_one_out_competitor_trips_z,0.007,positive
