model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,significant_05,label,estimate,effect_direction
threshold_type_unlock_fee_ge_0_99_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:large_aggregator_only,-0.027831071632539763,0.027073790923119803,0.30396347448888394,-0.080894726766822,0.025232583501742477,14514,97,30,0.7789776895125707,0.7758736170972568,all,threshold_type,False,unlock_fee_ge_0_99:FreeNow only,-0.028,negative
threshold_type_unlock_fee_ge_0_99_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.21187833824827862,0.04174673519924699,3.868298806915053e-07,-0.2937004357109333,-0.13005624078562397,14514,97,30,0.7789776895125707,0.7758736170972568,all,threshold_type,True,unlock_fee_ge_0_99:Local MaaS only,-0.212***,negative
threshold_type_unlock_fee_ge_0_99_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.1115175376695018,0.04749889655689385,0.018885055175050024,-0.2046136642264073,-0.018421411112596278,14514,97,30,0.7789776895125707,0.7758736170972568,all,threshold_type,True,unlock_fee_ge_0_99:Multi-platform,-0.112*,negative
threshold_any_unlock_fee_ge_0_99_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:platform_any,-0.006951029967378505,0.014230829698962678,0.6252320688554687,-0.03484294364746833,0.020940883712711324,14514,97,30,0.900129165467961,0.8983501352434615,all,threshold_any,False,unlock_fee_ge_0_99:Any platform,-0.007,negative
threshold_type_unlock_fee_ge_0_99_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:large_aggregator_only,-0.010463703319564087,0.014814554914568387,0.4799939055034521,-0.03949969739910898,0.018572290759980806,14514,97,30,0.9004371395632674,0.8986351600478218,all,threshold_type,False,unlock_fee_ge_0_99:FreeNow only,-0.010,negative
threshold_type_unlock_fee_ge_0_99_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.052928928997139274,0.01607111052384133,0.0009897623669388067,-0.08442772681543093,-0.021430131178847622,14514,97,30,0.9004371395632674,0.8986351600478218,all,threshold_type,True,unlock_fee_ge_0_99:Local MaaS only,-0.053***,negative
threshold_type_unlock_fee_ge_0_99_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.09493591600591587,0.015178935586641993,3.989154783077421e-10,-0.12468608307938754,-0.0651857489324442,14514,97,30,0.9004371395632674,0.8986351600478218,all,threshold_type,True,unlock_fee_ge_0_99:Multi-platform,-0.095***,negative
threshold_any_unlock_fee_ge_1_00_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:platform_any,-0.1580679491936183,0.034518532888083896,4.667135545521827e-06,-0.22572303045342412,-0.0904128679338125,14514,97,30,0.7648152727920637,0.7615789364369392,all,threshold_any,True,unlock_fee_ge_1_00:Any platform,-0.158***,negative
threshold_type_unlock_fee_ge_1_00_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:large_aggregator_only,-0.04467548470003434,0.024280017652625156,0.0657667122427562,-0.09226344484317639,0.002912475443107715,14514,97,30,0.7785755216220308,0.7754658010970188,all,threshold_type,False,unlock_fee_ge_1_00:FreeNow only,-0.045+,negative
threshold_type_unlock_fee_ge_1_00_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.2286322927694854,0.04094395494545443,2.3500747816599214e-08,-0.3088809698472067,-0.14838361569176411,14514,97,30,0.7785755216220308,0.7754658010970188,all,threshold_type,True,unlock_fee_ge_1_00:Local MaaS only,-0.229***,negative
