model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,feature,significant_05,label,estimate,effect_direction
underused_type_complementary_services_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,complementary_services:large_aggregator_only,-3.253322613265761e-17,1.7209875186622271e-18,1.0610048126475721e-79,-3.5906299687078534e-17,-2.916015257823669e-17,13768,92,30,0.8098609687991839,0.8070580052670719,no_weak_exposure,feature_x_platform_type,complementary_services,True,complementary_services:FreeNow only,-0.000***,negative
underused_any_complementary_services_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,complementary_services:platform_any,-0.011570760110848455,0.0021996616454885176,1.438632524682695e-07,-0.01588201771418006,-0.007259502507516848,13768,92,30,0.9024015027498011,0.9006111020309573,no_weak_exposure,feature_x_any_platform,complementary_services,True,complementary_services:Any platform,-0.012***,negative
underused_type_complementary_services_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,complementary_services:local_maas_only,-0.005111509841749906,0.004931315430296084,0.29994989641870895,-0.01477671048153687,0.0045536907980370574,13768,92,30,0.9025227833582262,0.9007199199891026,no_weak_exposure,feature_x_platform_type,complementary_services,False,complementary_services:Local MaaS only,-0.005,negative
underused_type_complementary_services_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,complementary_services:multi_platform,5.093367075767666e-17,1.8194506250330504e-18,1.9232706569988377e-172,4.7367613060962994e-17,5.449972845439033e-17,13768,92,30,0.9025227833582262,0.9007199199891026,no_weak_exposure,feature_x_platform_type,complementary_services,True,complementary_services:Multi-platform,0.000***,positive
underused_type_complementary_services_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,complementary_services:large_aggregator_only,2.5766261663413283e-17,1.2623965433642977e-18,1.3464209990904331e-92,2.3292009904211403e-17,2.8240513422615166e-17,13768,92,30,0.9025227833582262,0.9007199199891026,no_weak_exposure,feature_x_platform_type,complementary_services,True,complementary_services:FreeNow only,0.000***,positive
underused_any_no_of_vehicle_types_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,no_of_vehicle_types_z:platform_any,-0.029476972639116125,0.013713733547283107,0.03159881447493709,-0.05635539648536973,-0.002598548792862518,13768,92,30,0.8082601997985525,0.8054623163554184,no_weak_exposure,feature_x_any_platform,no_of_vehicle_types_z,True,no_of_vehicle_types_z:Any platform,-0.029*,negative
underused_type_no_of_vehicle_types_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,no_of_vehicle_types_z:local_maas_only,-0.024971103224856475,0.019060208789271223,0.19015626420018394,-0.06232842598964186,0.012386219539928911,13768,92,30,0.8123800622291066,0.8095861641509849,no_weak_exposure,feature_x_platform_type,no_of_vehicle_types_z,False,no_of_vehicle_types_z:Local MaaS only,-0.025,negative
underused_type_no_of_vehicle_types_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,no_of_vehicle_types_z:multi_platform,-0.018398863279920845,0.015140770428362853,0.22429488111395868,-0.04807422801770113,0.011276501457859436,13768,92,30,0.8123800622291066,0.8095861641509849,no_weak_exposure,feature_x_platform_type,no_of_vehicle_types_z,False,no_of_vehicle_types_z:Multi-platform,-0.018,negative
underused_type_no_of_vehicle_types_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,no_of_vehicle_types_z:large_aggregator_only,-0.0402867794038583,0.013873989773568443,0.0036870704476954915,-0.06747929968192948,-0.013094259125787135,13768,92,30,0.8123800622291066,0.8095861641509849,no_weak_exposure,feature_x_platform_type,no_of_vehicle_types_z,True,no_of_vehicle_types_z:FreeNow only,-0.040**,negative
underused_any_no_of_vehicle_types_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,no_of_vehicle_types_z:platform_any,0.0012831788631068597,0.0027413674437746505,0.6397274880316033,-0.004089802595082087,0.006656160321295806,13768,92,30,0.9024015027498012,0.9006111020309574,no_weak_exposure,feature_x_any_platform,no_of_vehicle_types_z,False,no_of_vehicle_types_z:Any platform,0.001,positive
